證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
068665,T50反1富邦62購04,0,0,0,0,0,0,0,0,0,"2,267,000",0,0,0,"4,063,000","1,796,000","2,267,000","2,267,000",20260609
8163,達方,"3,385,313","1,241,256","2,144,057",0,0,0,0,0,0,"118,605","29,224","21,591","7,633","112,016","1,044","110,972","2,262,662",20260609
2820,華票,"3,226,081","952,469","2,273,612",0,0,0,0,0,0,"-22,000","9,000","31,000","-22,000",0,0,0,"2,251,612",20260609
3022,威強電,"3,677,621","1,160,626","2,516,995",0,0,0,0,0,0,"-337,163","71,819","400,000","-328,181","71,769","80,751","-8,982","2,179,832",20260609
1210,大成,"1,778,985","4,329,623","-2,550,638",0,0,0,"4,990,000",0,"4,990,000","-265,243","51,000","316,243","-265,243",0,0,0,"2,174,119",20260609
069122,金像電元大5B購09,0,0,0,0,0,0,0,0,0,"2,160,000",0,0,0,"2,160,000",0,"2,160,000","2,160,000",20260609
2351,順德,"3,214,471","1,652,540","1,561,931",0,0,0,"591,000","1,000","590,000","-12,400",0,"9,571","-9,571","59,474","62,303","-2,829","2,139,531",20260609
068582,康普元大5B購01,0,0,0,0,0,0,0,0,0,"2,092,000",0,0,0,"2,192,000","100,000","2,092,000","2,092,000",20260609
070312,友達元大64購04,0,0,0,0,0,0,0,0,0,"2,090,000",0,0,0,"2,101,000","11,000","2,090,000","2,090,000",20260609
00671R,富邦NASDAQ反1,0,0,0,0,0,0,0,0,0,"2,079,700",0,0,0,"3,787,000","1,707,300","2,079,700","2,079,700",20260609
00688L,國泰20年美債正2,0,"318,000","-318,000",0,0,0,0,0,0,"2,392,500",0,0,0,"3,506,000","1,113,500","2,392,500","2,074,500",20260609
069121,金像電元大5B購08,0,0,0,0,0,0,0,0,0,"2,061,000",0,0,0,"2,086,000","25,000","2,061,000","2,061,000",20260609
058862,GIS統一73購02,0,0,0,0,0,0,0,0,0,"2,011,000",0,0,0,"2,216,000","205,000","2,011,000","2,011,000",20260609
068864,T50正2群益5B購05,0,0,0,0,0,0,0,0,0,"2,001,000",0,0,0,"2,003,000","2,000","2,001,000","2,001,000",20260609
057834,台塑元大59購06,0,0,0,0,0,0,0,0,0,"1,947,000",0,0,0,"2,536,000","589,000","1,947,000","1,947,000",20260609
051274,和椿統一65購01,0,0,0,0,0,0,0,0,0,"1,897,000",0,0,0,"1,897,000",0,"1,897,000","1,897,000",20260609
00995A,主動中信台灣卓越,"1,286,000","1,770,000","-484,000",0,0,0,0,0,0,"2,323,642",0,"2,000","-2,000","8,750,507","6,424,865","2,325,642","1,839,642",20260609
2836,高雄銀,"3,376,699","1,544,098","1,832,601",0,0,0,0,0,0,"-46,000","18,000","64,000","-46,000",0,0,0,"1,786,601",20260609
3019,亞光,"4,127,595","2,750,083","1,377,512",0,0,0,0,0,0,"377,920","356,829","78,345","278,484","135,932","36,496","99,436","1,755,432",20260609
00985A,主動野村台灣50,"639,000","519,000","120,000",0,0,0,0,0,0,"1,591,512",0,"71,000","-71,000","2,481,914","819,402","1,662,512","1,711,512",20260609
2393,億光,"3,129,096","1,423,574","1,705,522",0,0,0,"1,000","120,203","-119,203","116,343",0,"8,000","-8,000","132,469","8,126","124,343","1,702,662",20260609
038840,全漢統一61購01,0,0,0,0,0,0,0,0,0,"1,701,000",0,0,0,"1,765,000","64,000","1,701,000","1,701,000",20260609
068207,T50正2國泰5C購01,0,0,0,0,0,0,0,0,0,"1,693,000",0,0,0,"2,153,000","460,000","1,693,000","1,693,000",20260609
2308,台達電,"8,546,867","8,107,912","438,955",0,0,0,"799,000","11,105","787,895","451,828","544,390","209,140","335,250","199,935","83,357","116,578","1,678,678",20260609
054149,大研醫國票58購01,0,0,0,0,0,0,0,0,0,"1,595,000",0,0,0,"1,606,000","11,000","1,595,000","1,595,000",20260609
03185T,台灣50國泰5C售02,0,0,0,0,0,0,0,0,0,"1,538,000",0,0,0,"1,751,000","213,000","1,538,000","1,538,000",20260609
069756,強茂國泰63購01,0,0,0,0,0,0,0,0,0,"1,529,000",0,0,0,"1,939,000","410,000","1,529,000","1,529,000",20260609
00984A,主動安聯台灣高息,"309,000","643,000","-334,000",0,0,0,0,0,0,"1,862,642",0,"2,000","-2,000","3,226,183","1,361,541","1,864,642","1,528,642",20260609
00881,國泰台灣科技龍頭,"4,181,089","3,173,000","1,008,089",0,0,0,0,0,0,"520,417",0,"39,000","-39,000","1,747,235","1,187,818","559,417","1,528,506",20260609
6672,騰輝電子-KY,"2,307,949","838,000","1,469,949",0,0,0,0,"1,000","-1,000","56,294",0,"6,922","-6,922","77,148","13,932","63,216","1,525,243",20260609
2610,華航,"20,849,885","18,135,000","2,714,885",0,0,0,"13,000","956,576","-943,576","-253,329",0,"178,000","-178,000","61,001","136,330","-75,329","1,517,980",20260609
2887I,台新新光辛特,"1,983,000","467,350","1,515,650",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,515,650",20260609
2838,聯邦銀,"2,790,338","1,211,167","1,579,171",0,0,0,0,0,0,"-81,000",0,"74,000","-74,000","27,000","34,000","-7,000","1,498,171",20260609
2368,金像電,"4,057,024","4,532,576","-475,552",0,0,0,"2,073,100","75,168","1,997,932","-39,200","39,200","80,597","-41,397","550,405","548,208","2,197","1,483,180",20260609
068011,華邦電統一65購03,0,0,0,0,0,0,0,0,0,"1,467,000",0,0,0,"1,567,000","100,000","1,467,000","1,467,000",20260609
062617,東聯永豐5B購01,0,0,0,0,0,0,0,0,0,"1,465,000",0,0,0,"1,465,000",0,"1,465,000","1,465,000",20260609
068104,華邦電兆豐65購04,0,0,0,0,0,0,0,0,0,"1,455,000",0,0,0,"1,458,000","3,000","1,455,000","1,455,000",20260609
057379,華城群益5A購01,0,0,0,0,0,0,0,0,0,"1,424,000",0,0,0,"1,424,000",0,"1,424,000","1,424,000",20260609
2323,中環,"7,084,903","5,833,943","1,250,960",0,0,0,"36,000",0,"36,000","136,482","86,000","154,000","-68,000","255,580","51,098","204,482","1,423,442",20260609
6890,來億-KY,"353,000","451,100","-98,100",0,0,0,"1,526,000",0,"1,526,000","-26,286","39,000","70,000","-31,000","8,714","4,000","4,714","1,401,614",20260609
051265,世芯統一61購01,0,0,0,0,0,0,0,0,0,"1,397,000",0,0,0,"1,585,000","188,000","1,397,000","1,397,000",20260609
6446,藥華藥,"2,261,183","1,156,081","1,105,102",0,0,0,"341,000","27,000","314,000","-22,846","51,690","65,070","-13,380",0,"9,466","-9,466","1,396,256",20260609
069356,菱生群益5B購01,0,0,0,0,0,0,0,0,0,"1,383,000",0,0,0,"1,383,000",0,"1,383,000","1,383,000",20260609
4763,材料*-KY,"5,272,544","4,035,001","1,237,543",0,0,0,0,0,0,"125,757","1,000","43,000","-42,000","182,266","14,509","167,757","1,363,300",20260609
00401A,主動摩根台灣鑫收,"295,000","631,000","-336,000",0,0,0,0,0,0,"1,679,990","323,000","5,000","318,000","2,078,976","716,986","1,361,990","1,343,990",20260609
070066,華邦電元大64購02,0,0,0,0,0,0,0,0,0,"1,338,000",0,0,0,"1,471,000","133,000","1,338,000","1,338,000",20260609
4904,遠傳,"9,003,428","7,678,712","1,324,716",0,0,0,"326,000","220,000","106,000","-93,522","66,000","120,097","-54,097","25,575","65,000","-39,425","1,337,194",20260609
3673,TPK-KY,"8,732,213","7,615,920","1,116,293",0,0,0,0,0,0,"206,873","295,000","145,000","150,000","240,314","183,441","56,873","1,323,166",20260609
066555,南亞科台新5B購02,0,0,0,0,0,0,0,0,0,"1,317,000",0,0,0,"1,528,000","211,000","1,317,000","1,317,000",20260609
064213,金像電群益5A購04,0,0,0,0,0,0,0,0,0,"1,301,000",0,0,0,"1,583,000","282,000","1,301,000","1,301,000",20260609
060644,新興元大59購04,0,0,0,0,0,0,0,0,0,"1,299,000",0,0,0,"1,500,000","201,000","1,299,000","1,299,000",20260609
8454,富邦媒,"303,526","255,160","48,366",0,0,0,"1,250,000",0,"1,250,000","-6,927","15,000","21,927","-6,927",0,0,0,"1,291,439",20260609
063990,定穎控元大61購09,0,0,0,0,0,0,0,0,0,"1,286,000",0,0,0,"1,975,000","689,000","1,286,000","1,286,000",20260609
00907,永豐優息存股,"968,000","218,000","750,000",0,0,0,0,0,0,"532,838",0,0,0,"1,131,717","598,879","532,838","1,282,838",20260609
2501,國建,"2,504,251","1,197,704","1,306,547",0,0,0,0,0,0,"-32,254","1,000","33,254","-32,254",0,0,0,"1,274,293",20260609
054158,東元元大5A購03,0,0,0,0,0,0,0,0,0,"1,272,000",0,0,0,"1,272,000",0,"1,272,000","1,272,000",20260609
058858,迅得統一63購01,0,0,0,0,0,0,0,0,0,"1,232,000",0,0,0,"1,232,000",0,"1,232,000","1,232,000",20260609
00635U,期元大S&P黃金,"11,191","173,000","-161,809",0,0,0,0,0,0,"1,371,706","1,000",0,"1,000","1,897,374","526,668","1,370,706","1,209,897",20260609
2645,長榮航太,"1,675,650","555,117","1,120,533",0,0,0,0,0,0,"84,760","52,693","9,000","43,693","64,067","23,000","41,067","1,205,293",20260609
069930,南茂元大5C購05,0,0,0,0,0,0,0,0,0,"1,198,000",0,0,0,"1,222,000","24,000","1,198,000","1,198,000",20260609
2406,國碩,"7,615,493","6,433,312","1,182,181",0,0,0,0,0,0,"4,596","16,000","12,000","4,000","258,118","257,522",596,"1,186,777",20260609
2634,漢翔,"1,963,048","749,000","1,214,048",0,0,0,0,0,0,"-30,322","6,000","34,000","-28,000","24,857","27,179","-2,322","1,183,726",20260609
064421,金像電統一66購01,0,0,0,0,0,0,0,0,0,"1,177,000",0,0,0,"1,202,000","25,000","1,177,000","1,177,000",20260609
2367,燿華,"7,341,287","6,419,169","922,118",0,0,0,0,0,0,"244,775","68,020","92,000","-23,980","428,707","159,952","268,755","1,166,893",20260609
00922,國泰台灣領袖50,"2,350,310","1,903,250","447,060",0,0,0,0,0,0,"718,995",0,"310,000","-310,000","2,895,582","1,866,587","1,028,995","1,166,055",20260609
9910,豐泰,"3,051,745","4,169,398","-1,117,653",0,0,0,"2,295,000","6,152","2,288,848","-13,031","17,374","44,405","-27,031","28,000","14,000","14,000","1,158,164",20260609
064844,金像電元大5A購18,0,0,0,0,0,0,0,0,0,"1,140,000",0,0,0,"1,144,000","4,000","1,140,000","1,140,000",20260609
067078,智原富邦5C購02,0,0,0,0,0,0,0,0,0,"1,116,000",0,0,0,"1,316,000","200,000","1,116,000","1,116,000",20260609
052976,康舒統一61購02,0,0,0,0,0,0,0,0,0,"1,115,000",0,0,0,"1,246,000","131,000","1,115,000","1,115,000",20260609
039926,宏達電元大59購02,0,0,0,0,0,0,0,0,0,"1,111,000",0,0,0,"1,111,000",0,"1,111,000","1,111,000",20260609
4967,十銓,"3,255,345","2,221,000","1,034,345",0,0,0,0,0,0,"72,478","18,000","6,255","11,745","101,886","41,153","60,733","1,106,823",20260609
066850,T50反1群益5B購02,0,0,0,0,0,0,0,0,0,"1,105,000",0,0,0,"1,105,000",0,"1,105,000","1,105,000",20260609
069458,凱基金富邦62購02,0,0,0,0,0,0,0,0,0,"1,104,000",0,0,0,"1,234,000","130,000","1,104,000","1,104,000",20260609
068007,華邦電統一63購01,0,0,0,0,0,0,0,0,0,"1,102,000",0,0,0,"1,102,000",0,"1,102,000","1,102,000",20260609
067946,台積電群益5B購20,0,0,0,0,0,0,0,0,0,"1,101,000",0,0,0,"1,545,000","444,000","1,101,000","1,101,000",20260609
2597,潤弘,"691,900","1,266,784","-574,884",0,0,0,"1,710,000",0,"1,710,000","-35,762","2,238","38,000","-35,762",0,0,0,"1,099,354",20260609
069909,強茂元大5C購03,0,0,0,0,0,0,0,0,0,"1,090,000",0,0,0,"1,129,000","39,000","1,090,000","1,090,000",20260609
051682,新日興元大57購03,0,0,0,0,0,0,0,0,0,"1,089,000",0,0,0,"1,104,000","15,000","1,089,000","1,089,000",20260609
063794,金像電統一64購02,0,0,0,0,0,0,0,0,0,"1,087,000",0,0,0,"1,087,000",0,"1,087,000","1,087,000",20260609
2880,華南金,"25,668,020","26,432,431","-764,411",0,0,0,"5,025,000","2,745,000","2,280,000","-439,467","8,000","216,672","-208,672","108,673","339,468","-230,795","1,076,122",20260609
064686,松川永豐5B購01,0,0,0,0,0,0,0,0,0,"1,067,000",0,0,0,"1,105,000","38,000","1,067,000","1,067,000",20260609
067948,技嘉群益5B購03,0,0,0,0,0,0,0,0,0,"1,060,000",0,0,0,"1,060,000",0,"1,060,000","1,060,000",20260609
00686R,群益臺灣加權反1,"2,000",0,"2,000",0,0,0,0,0,0,"1,055,446","150,000",0,"150,000","5,153,519","4,248,073","905,446","1,057,446",20260609
057640,台積電元大62購10,0,0,0,0,0,0,0,0,0,"1,053,000",0,0,0,"1,053,000",0,"1,053,000","1,053,000",20260609
065439,貿聯元大5A購05,0,0,0,0,0,0,0,0,0,"1,050,000",0,0,0,"1,050,000",0,"1,050,000","1,050,000",20260609
03028T,南亞科國票5B售02,0,0,0,0,0,0,0,0,0,"1,047,000",0,0,0,"1,639,000","592,000","1,047,000","1,047,000",20260609
066617,川湖兆豐61購02,0,0,0,0,0,0,0,0,0,"1,030,000",0,0,0,"1,040,000","10,000","1,030,000","1,030,000",20260609
064445,金像電群益5A購07,0,0,0,0,0,0,0,0,0,"1,024,000",0,0,0,"1,034,000","10,000","1,024,000","1,024,000",20260609
3005,神基,"2,181,015","1,171,279","1,009,736",0,0,0,0,"4,752","-4,752","17,640","5,000","15,283","-10,283","82,316","54,393","27,923","1,022,624",20260609
056807,保瑞元大5A購02,0,0,0,0,0,0,0,0,0,"1,019,000",0,0,0,"1,019,000",0,"1,019,000","1,019,000",20260609
044405,至上統一6B購01,0,0,0,0,0,0,0,0,0,"1,013,000",0,0,0,"1,110,000","97,000","1,013,000","1,013,000",20260609
041184,川湖富邦57購01,0,0,0,0,0,0,0,0,0,"1,011,000",0,0,0,"1,011,000",0,"1,011,000","1,011,000",20260609
063463,辛耘統一74購01,0,0,0,0,0,0,0,0,0,"1,010,000",0,0,0,"1,094,000","84,000","1,010,000","1,010,000",20260609
066931,十銓富邦62購02,0,0,0,0,0,0,0,0,0,"1,006,000",0,0,0,"1,230,000","224,000","1,006,000","1,006,000",20260609
