Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150608,5225,東科-KY,497124,35087687,69.00,71.70,69.00,71.00,-3.9000,573
1150608,5234,達興材料,769393,288931362,365.00,392.00,365.00,389.00,-14.5000,1663
1150608,5243,乙盛-KY,3756502,388750488,101.50,108.00,101.50,107.50,-5.0000,3300
1150608,5244,弘凱,279731,10326689,35.10,38.20,35.10,38.20,-0.3000,247
1150608,5258,虹堡,686978,32302832,45.50,48.20,45.50,47.95,-2.3500,632
1150608,5269,祥碩,1542981,2151805125,1375.00,1420.00,1375.00,1400.00,-125.0000,7546
1150608,5283,禾聯碩,110290,5662133,51.00,51.90,51.00,51.70,-0.8000,359
1150608,5284,jpp-KY,895113,339718169,367.00,397.00,367.00,394.00,-12.5000,1517
1150608,5285,界霖,2447657,207734711,82.70,89.50,82.70,87.60,-4.2000,2027
1150608,5288,豐祥-KY,372006,62596991,160.00,173.00,158.00,171.50,5.0000,378
1150608,5292,華懋,191093,39313381,199.00,212.00,199.00,209.50,-7.0000,701
1150608,5306,桂盟,239412,19986985,84.00,84.50,82.30,83.50,-1.5000,317
1150608,5388,中磊,4061479,338808324,81.30,84.90,81.30,84.30,-5.3000,3238
1150608,5434,崇越,788419,343951888,420.00,443.00,419.50,437.50,-21.0000,1520
1150608,5469,瀚宇博,3030460,236882393,76.00,80.80,76.00,80.10,-3.9000,2502
1150608,5471,松翰,1932395,90912195,46.20,48.45,46.10,48.00,-3.2000,1486
1150608,5484,慧友,1916627,101224801,52.20,54.10,52.20,53.00,-4.9000,2323
1150608,5515,建國,459162,18564271,40.25,40.80,39.55,40.70,-0.4500,419
1150608,5519,隆大,530100,16931709,31.90,32.15,31.40,32.15,-0.5500,388
1150608,5521,工信,6344757,63465303,9.90,10.20,9.65,10.20,0.0500,2168
1150608,5522,遠雄,765602,56848556,72.50,75.30,72.50,74.20,-1.9000,811
1150608,5525,順天,106387,2350353,22.55,22.60,21.85,21.95,-0.8500,157
